"airport";"year";"month";"tm_mov_naz";"p_tm_mov_naz";"tm_mov_internaz";"p_tm_mov_internaz";"tm_mov_UE";"p_tm_mov_UE";"tm_mov_tcomm";"p_tm_mov_tcomm";"tm_mov_tgenav";"p_tm_mov_tgenav";"tm_mov_tot";"p_tm_mov_tot";"tp_mov_naz";"p_tp_mov_naz";"tp_mov_internaz";"p_tp_mov_internaz";"tp_mov_UE";"p_tp_mov_UE";"tp_mov_tcomm";"p_tp_mov_tcomm";"tp_mov_tgenav";"p_tp_mov_tgenav";"tp_mov_tot";"p_tp_mov_tot";"cod3";"cod4";"rating";"nroutes";"nro"
"Bolzano";2001;9;102;-8.92857142857143;57;-37.3626373626374;57;-28.75;159;-21.6748768472906;541;-10.2819237147595;700;-13.151364764268;20501;-8.60416388034417;10436;-38.1020166073547;10436;-24.8884410536922;68;-71.3080168776371;31005;-21.5619307832423;4232;198.659139026111;"BZO";"LIPB";59;8;1
"Brindisi";2001;9;556;-7.94701986754967;102;-50.4854368932039;0;0;658;-18.7654320987654;30;-85.2216748768473;688;-32.0829220138203;442252;6.55596301097238;49332;-17.7923311503275;0;0;18267;30.9556240590723;509851;4.2640081799591;429;-64.7203947368421;"BDS";"LIBR";72;968;3
"Cagliari";2001;9;2155;-9.8326359832636;331;42.6724137931034;313;50.4807692307692;2486;-5.18688024408848;277;-17.5595238095238;2763;-6.59229208924949;1437008;-4.95463378304908;95014;6.61235847892191;85665;11.4008166662332;24806;28.936015385415;1556828;-3.91599466264431;2276;-28.875;"CAG";"LIEE";72;3698;4
"Catania";2001;9;3236;-2.26517668378133;1029;6.08247422680412;269;-61.6262482168331;4265;-0.373744452230787;117;-10.6870229007634;4382;-0.679963735267452;2359604;-0.0416421847616716;808901;5.78557033770521;562359;-4.83427704991826;8106;-11.1379083534313;3176611;1.34767114284529;1752;127.828348504551;"CTA";"LICC";68;27149;7
"Cuneo";2001;9;40;-27.2727272727273;2;-50;2;-50;42;-28.8135593220339;1640;23.6802413273002;1682;21.4440433212996;4103;-36.6820987654321;284;-23.4501347708895;305;-17.7897574123989;0;0;4387;-35.9655524740914;10614;98.6896293523025;"CUF";"LIMZ";42;50;1
"Firenze";2001;9;817;-11.5800865800866;1935;14.6327014218009;0;0;2752;5.35987748851455;406;-45.2091767881242;3158;-5.81568744407993;331314;-11.3745064680769;869000;10.7208064653816;0;0;0;0;1200314;3.59206450716454;6414;-24.8418092336536;"FLR";"LIRQ";61;5618;5
"Genova";2001;9;883;-12.2266401590457;763;-8.40336134453782;509;-12.5429553264605;1646;-10.494834148994;850;9.11424903722721;2496;-4.66004583651642;406414;-12.231266102438;333086;2.22096738059653;261066;6.67554723796526;11064;52.7754763877382;750564;-5.72485812832384;8793;0.422567382366377;"GOA";"LIMJ";64;800;3
"Lamezia Terme";2001;9;662;23.0483271375465;248;-21.0191082802548;202;-25.7352941176471;910;6.8075117370892;36;-21.7391304347826;946;5.34521158129176;503373;14.7142472983505;131618;-29.0220292824979;114708;-32.0981223214074;5913;14.8601398601399;640904;1.82955215296105;668;30.7240704500978;"SUF";"LICA";62;1250;4
"Milano Linate";2001;9;5097;20.0706713780919;2841;94.4558521560575;2712;85.7534246575343;7938;39.1167192429022;3319;86.6704161979753;11257;50.4142169962587;3931555;27.3230092436216;1726105;18.6720402717878;1692089;16.4360203270634;616;68.3060109289618;5658276;24.5564022786238;0;0;"LIN";"LIML";67;7200;5
"Milano Malpensa";2001;9;5309;-13.7869438129263;15688;-0.444218809493591;10322;3.60333232961959;20997;-4.19328344588429;279;93.75;21276;-3.55394378966455;3520489;-18.3045110531174;11736020;0.607587870325476;6232714;1.10288798006204;89221;-33.4737611285921;15345730;-4.735438469284;0;0;"MXP";"LIMC";72;74500;8
"Napoli";2001;9;2941;-11.9461077844311;1890;2.10696920583468;1726;2.1301775147929;4831;-6.93507994606049;763;-0.521512385919166;5594;-6.10943269553541;1903701;-5.28379521369222;1224872;7.57872511597759;1156279;10.4366064410267;112906;8.54676203660975;3241479;-0.338785757900543;8366;28.9457459926017;"NAP";"LIRN";75;12482;6
"Olbia";2001;9;1764;-5.26315789473684;384;4.34782608695652;278;1.45985401459854;2148;-3.67713004484305;852;10.7932379713914;3000;0.0333444481493831;1004032;0.296985492363587;177377;8.98539504648148;142253;10.4671750508643;18441;99.7076023391813;1199850;2.28499138141215;13316;8.08441558441558;"OLB";"LIEO";77;5408;5
"Palermo";2001;9;3228;-13.2258064516129;464;-8.300395256917;307;-13.2768361581921;3692;-12.6360624704212;168;55.5555555555556;3860;-10.9367789570835;2249438;3.56004069775472;348298;-0.506468687780479;265467;-3.92004285228268;30915;25.1974243712793;2628651;3.21087733433221;2181;87.3711340206186;"PMO";"LICJ";67;7938;5
